rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Country-specific,2c,30,6,0.6668578173629178,0.6230779667840185,0.043779850578899326,8,True
RQ1,Country-specific,2c,30,7,0.6671447992331058,0.6595533820457294,0.007591417187376326,8,True
RQ1,Country-specific,2c,30,8,0.700832117228058,0.6846454853133976,0.01618663191466041,8,True
RQ1,Country-specific,2c,30,9,0.745352438524831,0.6951038364376598,0.05024860208717119,8,True
RQ1,Country-specific,2c,40,0,0.7209908248532115,0.6736038406671576,0.047386984186053915,8,True
RQ1,Country-specific,2c,40,1,0.6963626657756093,0.624944377587658,0.07141828818795137,8,True
RQ1,Country-specific,2c,40,2,0.735754493853307,0.6879705607743551,0.0477839330789519,8,True
RQ1,Country-specific,2c,40,3,0.7090432461643456,0.6715338725441558,0.0375093736201898,8,True
RQ1,Country-specific,2c,40,4,0.6899196581617586,0.6612984993063024,0.02862115885545624,8,True
RQ1,Country-specific,2c,40,5,0.7614558305020092,0.7620142915877706,-0.0005584610857614081,8,True
RQ1,Country-specific,2c,40,6,0.6510865456838411,0.686746572323004,-0.0356600266391629,8,True
RQ1,Country-specific,2c,40,7,0.6732045715536396,0.6612204213414029,0.011984150212236644,8,True
RQ1,Country-specific,2c,40,8,0.7184109920758122,0.6887639875683254,0.029647004507486807,8,True
RQ1,Country-specific,2c,40,9,0.7655715655834516,0.7186571249238776,0.046914440659574064,8,True
RQ1,Country-specific,2c,50,0,0.7421639713910853,0.7012187724976214,0.04094519889346382,8,True
RQ1,Country-specific,2c,50,1,0.701791279173659,0.7106294066358569,-0.00883812746219792,8,True
RQ1,Country-specific,2c,50,2,0.7507065265863815,0.7183700989340607,0.03233642765232081,8,True
RQ1,Country-specific,2c,50,3,0.7355165254458984,0.700616170899372,0.0349003545465264,8,True
RQ1,Country-specific,2c,50,4,0.7076836631505224,0.6711733755117154,0.03651028763880704,8,True
RQ1,Country-specific,2c,50,5,0.7626426966493336,0.6605525833159251,0.10209011333340845,8,True
RQ1,Country-specific,2c,50,6,0.6768539550356862,0.6831392304854178,-0.006285275449731564,8,True
RQ1,Country-specific,2c,50,7,0.7121100687488489,0.7068510370778736,0.0052590316709753004,8,True
RQ1,Country-specific,2c,50,8,0.7448352174087649,0.7151935519989912,0.029641665409773754,8,True
RQ1,Country-specific,2c,50,9,0.759664427976263,0.7266646966418867,0.03299973133437628,8,True
RQ1,Country-specific,3c,10,0,0.6302395220047587,0.6056800783140843,0.02455944369067442,8,True
RQ1,Country-specific,3c,10,1,0.6383958657895948,0.6282182031840094,0.010177662605585391,6,True
RQ1,Country-specific,3c,10,2,0.6538948571471203,0.6438898524358636,0.010005004711256649,8,True
RQ1,Country-specific,3c,10,3,0.6230230037226914,0.5977563635039407,0.02526664021875069,8,True
RQ1,Country-specific,3c,10,4,0.6391896303170546,0.6239462142747566,0.015243416042297953,8,True
RQ1,Country-specific,3c,10,5,0.6383559514069589,0.6010770662514429,0.03727888515551603,8,True
RQ1,Country-specific,3c,10,6,0.6810859187934389,0.6326466873465226,0.04843923144691631,8,True
RQ1,Country-specific,3c,10,7,0.6920703044164191,0.6333577693860105,0.05871253503040863,7,True
RQ1,Country-specific,3c,10,8,0.6702777853931542,0.6478935877592137,0.022384197633940506,7,True
RQ1,Country-specific,3c,10,9,0.610682115939984,0.6224102688935973,-0.011728152953613291,8,True
RQ1,Country-specific,3c,20,0,0.6872968617914185,0.662171684568323,0.025125177223095485,8,True
RQ1,Country-specific,3c,20,1,0.6738852381966477,0.6591869832454134,0.014698254951234335,6,True
RQ1,Country-specific,3c,20,2,0.6974634922552809,0.6745895316883902,0.022873960566890728,8,True
RQ1,Country-specific,3c,20,3,0.6506105609059213,0.633619948773412,0.016990612132509297,8,True
RQ1,Country-specific,3c,20,4,0.6985224474159059,0.6622366687190648,0.03628577869684102,8,True
RQ1,Country-specific,3c,20,5,0.6876770271218884,0.6352416792040703,0.05243534791781812,8,True
RQ1,Country-specific,3c,20,6,0.6966598140809241,0.6635505584594796,0.03310925562144451,8,True
RQ1,Country-specific,3c,20,7,0.7377558712993436,0.6704444803112007,0.06731139098814287,7,True
RQ1,Country-specific,3c,20,8,0.717411405191625,0.6925782022933537,0.0248332028982714,7,True
RQ1,Country-specific,3c,20,9,0.6638460452856765,0.6656326621220721,-0.0017866168363955826,8,True
RQ1,Country-specific,3c,30,0,0.704041132931711,0.684814710336365,0.019226422595346015,8,True
RQ1,Country-specific,3c,30,1,0.7059957223892042,0.687963434608046,0.018032287781158174,6,True
RQ1,Country-specific,3c,30,2,0.7276159199657228,0.6885971587609275,0.039018761204795305,8,True
RQ1,Country-specific,3c,30,3,0.6821123750360555,0.660937312169571,0.021175062866484518,8,True
RQ1,Country-specific,3c,30,4,0.7011039943647478,0.6739791071172962,0.027124887247451546,8,True
RQ1,Country-specific,3c,30,5,0.698726617556501,0.6648388926220162,0.033887724934484775,8,True
RQ1,Country-specific,3c,30,6,0.7232341611895742,0.6884243514405695,0.034809809749004716,8,True
RQ1,Country-specific,3c,30,7,0.748891975447413,0.6976181792916109,0.05127379615580219,7,True
RQ1,Country-specific,3c,30,8,0.7442016107358433,0.7220101698574711,0.022191440878372215,7,True
RQ1,Country-specific,3c,30,9,0.7011400157759766,0.6857219853276413,0.01541803044833534,8,True
RQ1,Country-specific,3c,40,0,0.7345589672301283,0.7059406050821901,0.028618362147938115,8,True
